Idx	Game	Released	Price	Userscore	Owners	Playtime
4	Call of Duty: Modern Warfare 2	Nov 11, 2009	$19.99	90% (86%)	4,684,487 ±51,674	24:13 (10:25)
6	Call of Duty: Modern Warfare 2 - Multiplayer	Nov 11, 2009	$19.99	90% (86%)	4,684,487 ±51,674	155:14 (51:38)
8	Call of Duty: Black Ops - Multiplayer	Nov 9, 2010	$39.99	N/A (81%)	3,335,936 ±43,722	77:14 (22:15)
9	Call of Duty: Black Ops	Nov 9, 2010	$39.99	88% (81%)	3,335,936 ±43,722	25:25 (09:37)
28	Call of Duty: Modern Warfare 3	Nov 8, 2011	$39.99	N/A (N/A)	3,147,784 ±42,486	23:57 (09:42)
44	Call of Duty: Modern Warfare 3 - Multiplayer	Nov 8, 2011	$39.99	N/A (N/A)	3,147,784 ±42,486	113:07 (31:52)
19	Call of Duty: Black Ops II - Multiplayer	Nov 12, 2012	$59.99	N/A (74%)	2,605,230 ±38,692	88:33 (22:32)
20	Call of Duty: Black Ops II	Nov 12, 2012	$59.99	85% (74%)	2,605,230 ±38,692	08:53 (03:41)
22	Call of Duty: Ghosts - Multiplayer	Mar 25, 2014	$59.99	N/A (68%)	1,319,042 ±27,600	36:40 (07:38)
23	Call of Duty: Ghosts	Mar 25, 2014	$59.99	56% (68%)	1,319,042 ±27,600	08:37 (05:05)
12	Call of Duty: Advanced Warfare - Multiplayer	Nov 3, 2014	$59.99	N/A (78%)	962,359 ±23,591	35:55 (11:05)
13	Call of Duty: Advanced Warfare	Nov 3, 2014	$59.99	63% (78%)	962,359 ±23,591	08:32 (05:25)
7	Call of Duty: World at War	Nov 18, 2008	$19.99	93% (83%)	920,379 ±23,073	35:23 (11:43)
1	Call of Duty 4: Modern Warfare	Nov 12, 2007	$19.99	92% (92%)	871,097 ±22,449	24:58 (07:33)
10	Vampire: The Masquerade - Bloodlines	Mar 22, 2007	$19.99	94% (80%)	442,469 ±16,012	14:41 (03:23)
14	PROTOTYPE 2	Jul 24, 2012	$39.99	68% (76%)	393,188 ±15,096	16:11 (10:02)
11	Prototype	Jun 10, 2009	$19.99	81% (79%)	357,900 ±14,403	12:19 (05:44)
5	Call of Duty 2	Oct 13, 2006	$19.99	91% (86%)	235,761 ±11,693	22:50 (05:23)
18	Transformers: War for Cybertron	Jun 22, 2010	$19.99	91% (75%)	194,997 ±10,635	08:35 (04:11)
25	Deadpool	Jun 25, 2013	$19.99	92% (63%)	193,476 ±10,593	07:33 (05:35)
2	Call of Duty	Oct 13, 2006	$19.99	95% (91%)	169,291 ±9,909	07:19 (02:44)
34	The Legend of Korra	Oct 21, 2014	$14.99	84% (N/A)	161,078 ±9,666	05:53 (03:30)
29	Transformers: Fall of Cybertron	Aug 20, 2012	$49.99	95% (N/A)	148,605 ±9,285	22:15 (08:45)
17	Geometry Wars: Retro Evolved	Jun 18, 2007	$3.99	N/A (76%)	147,997 ±9,266	01:45 (00:26)
3	Call of Duty: United Offensive	Oct 13, 2006	$19.99	N/A (87%)	147,845 ±9,261	05:30 (01:26)
36	The Amazing Spider-Man	Sep 25, 2012	$39.99	75% (N/A)	120,770 ±8,370	12:26 (06:10)
16	Singularity	Jun 30, 2010	$29.99	93% (76%)	110,123 ±7,993	07:35 (06:02)
45	Tony Hawk's Pro Skater HD	Sep 18, 2012	$4.99	64% (N/A)	107,841 ±7,910	06:10 (02:00)
26	The Amazing Spider-Man 2	Apr 29, 2014	$39.99	67% (57%)	74,227 ±6,563	10:38 (06:04)
27	The Walking Dead: Survival Instinct	Mar 19, 2013	$49.99	53% (38%)	68,447 ±6,302	09:19 (03:28)
21	TimeShift	Jul 23, 2009	$4.99	N/A (71%)	52,932 ±5,542	03:50 (00:55)
15	GUN	Oct 13, 2006	$19.99	N/A (76%)	49,586 ±5,364	04:21 (01:43)
41	Geometry Wars 3: Dimensions	Nov 25, 2014	$14.99	91% (N/A)	46,848 ±5,214	06:36 (01:53)
32	Teenage Mutant Ninja Turtles: Out of the Shadows	Aug 28, 2013	$14.99	55% (N/A)	44,871 ±5,103	07:00 (02:46)
30	King's Quest Collection	Jul 23, 2009	$19.99	N/A (N/A)	33,615 ±4,417	04:52 (00:47)
33	Cabela's Big Game Hunter Pro Hunts	Mar 25, 2014	$29.99	N/A (N/A)	32,398 ±4,336	13:03 (07:59)
38	Space Quest Collection	Jul 23, 2009	$19.99	N/A (N/A)	31,333 ±4,264	03:55 (00:26)
46	TRANSFORMERS: Rise of the Dark Spark	Jun 24, 2014	$49.99	N/A (N/A)	18,100 ±3,241	20:45 (08:49)
35	Cabelas Trophy Bucks	May 16, 2008	$19.99	N/A (N/A)	16,427 ±3,087	02:22 (00:32)
39	Fast & Furious: Showdown	May 21, 2013	$29.99	N/A (N/A)	15,971 ±3,044	04:38 (01:07)
40	Cabela's Dangerous Hunts 2013	Oct 22, 2012	$29.99	N/A (N/A)	11,712 ±2,607	04:52 (01:30)
24	White Night	Mar 3, 2015	$14.99	N/A (68%)	9,430 ±2,339	02:59 (01:38)
43	3D Ultra Minigolf Adventures Deluxe	Jul 23, 2009	$9.99	N/A (N/A)	9,278 ±2,320	02:11 (01:09)
42	Cabela's Hunting Expeditions	Oct 22, 2012	$29.99	N/A (N/A)	8,214 ±2,183	09:23 (03:09)
47	Cabela's African Adventures	Oct 16, 2013	$29.99	N/A (N/A)	7,757 ±2,121	01:18 (00:51)
31	Aces of the Galaxy	Jul 23, 2009	$9.99	N/A (N/A)	5,019 ±1,706	01:07 (00:45)
37	Duck Dynasty	Oct 14, 2014	$39.99	N/A (N/A)	3,955 ±1,515	03:06 (03:13)